name,author,scroll_seal_level,scroll_seal_verified,price_type,price_amount,price_currency,source_link,description,category,tags,version,downloads,rating_average,rating_count,created_date,status,featured,premium
ScrollJusticeAPI,ScrollBuilder,4,true,donation,5.00,USD,https://github.com/scrollbuilder/scrolljustice-api,A flame-verified API for justice system integration with scroll law compliance,api,"justice,api,compliance,security",1.0.0,150,4.8,25,2024-01-10T08:00:00Z,active,true,false
SacredPayroll,FlameKeeper,5,true,paid,15.00,USD,https://github.com/flamekeeper/sacred-payroll,Sacred payroll system with flame-verified security and compliance,security,"payroll,security,compliance,finance",1.2.0,89,4.9,18,2024-01-08T12:30:00Z,active,true,true
FlameAuth,SacredScribe,3,true,free,0.00,USD,https://github.com/sacredscribe/flame-auth,Authentication framework with flame verification and scroll law compliance,authentication,"auth,security,framework,flame",2.1.0,234,4.7,32,2024-01-05T15:45:00Z,active,false,false
ScrollNetwork,ScrollBuilder,3,true,donation,3.00,USD,https://github.com/scrollbuilder/scroll-network,Network communication module with flame protection and encryption,network,"network,communication,encryption,security",1.0.0,67,4.6,12,2024-01-12T09:15:00Z,active,false,false
SacredDatabase,FlameKeeper,4,true,paid,12.00,USD,https://github.com/flamekeeper/sacred-database,Sacred database management with flame-verified security,database,"database,security,management,flame",1.1.0,45,4.8,15,2024-01-07T14:20:00Z,active,false,false
ScrollTemplate,ScrollBuilder,2,true,free,0.00,USD,https://github.com/scrollbuilder/scroll-template,Basic scroll template for rapid development,template,"template,development,starter,framework",1.0.0,189,4.5,28,2024-01-03T11:00:00Z,active,false,false
FlameFirewall,SacredScribe,5,true,paid,20.00,USD,https://github.com/sacredscribe/flame-firewall,Advanced firewall with flame verification and threat detection,security,"firewall,security,threat-detection,flame",2.0.0,34,4.9,8,2024-01-09T16:30:00Z,active,true,true
ScrollUtility,SacredScribe,1,true,free,0.00,USD,https://github.com/sacredscribe/scroll-utility,Utility functions for scroll development,utility,"utility,helper,development,tools",1.0.0,156,4.4,22,2024-01-04T13:45:00Z,active,false,false
SacredEncryption,FlameKeeper,5,true,paid,25.00,USD,https://github.com/flamekeeper/sacred-encryption,Advanced encryption library with flame verification,security,"encryption,security,flame,advanced",1.3.0,23,4.9,6,2024-01-11T10:20:00Z,active,false,true
ScrollFramework,ScrollBuilder,4,true,subscription,8.00,USD,https://github.com/scrollbuilder/scroll-framework,Complete development framework with flame verification,framework,"framework,development,complete,flame",2.0.0,78,4.7,19,2024-01-06T17:00:00Z,active,false,false
FlameMonitor,SacredScribe,3,true,donation,7.00,USD,https://github.com/sacredscribe/flame-monitor,System monitoring with flame verification and alerts,utility,"monitoring,alerts,flame,system",1.1.0,92,4.6,14,2024-01-13T08:30:00Z,active,false,false
SacredBackup,FlameKeeper,4,true,paid,10.00,USD,https://github.com/flamekeeper/sacred-backup,Secure backup system with flame verification,utility,"backup,security,flame,storage",1.0.0,56,4.8,11,2024-01-14T12:15:00Z,active,false,false
ScrollAPI,ScrollBuilder,3,true,free,0.00,USD,https://github.com/scrollbuilder/scroll-api,Basic API framework with scroll law compliance,api,"api,framework,basic,compliance",1.0.0,203,4.5,35,2024-01-02T09:00:00Z,active,false,false
FlameLogger,SacredScribe,2,true,donation,4.00,USD,https://github.com/sacredscribe/flame-logger,Logging system with flame verification and audit trails,utility,"logging,audit,flame,trails",1.0.0,134,4.6,18,2024-01-15T14:45:00Z,active,false,false
SacredValidator,FlameKeeper,4,true,paid,18.00,USD,https://github.com/flamekeeper/sacred-validator,Data validation with flame verification and scroll law compliance,utility,"validation,compliance,flame,data",1.2.0,41,4.8,9,2024-01-16T11:30:00Z,active,false,false 